local_area,investment_year,followup_year,total_businesses,total_employees,total_land_value_in_investment_year,total_land_value_in_followup_year,percent_change_in_land_value
Arbutus-Ridge,2020,2021,1112,11544,7425586015,6804464015,-8.36
Arbutus-Ridge,2020,2022,962,10139,6639293014,6330413014,-4.65
Arbutus-Ridge,2020,2023,908,10079,6506831014,6391560024,-1.77
Arbutus-Ridge,2020,2024,1019,11768,6774469014,6617529393,-2.32
Arbutus-Ridge,2021,2022,974,8073,6421703514,6678222514,3.99
Arbutus-Ridge,2021,2023,930,7967,6351251514,6733493024,6.02
Arbutus-Ridge,2021,2024,1047,9542,6397439514,6775197126,5.9
Downtown,2020,2021,19566,260528,109575593306,102524322569,-6.44
Downtown,2020,2022,19264,259798,109465220889,108545183970,-0.84
Downtown,2020,2023,22268,283961,119934369701,115449849153,-3.74
Downtown,2020,2024,23816,322442,128288214810,119868026707,-6.56
Downtown,2021,2022,20004,269266,103167174356,108824627474,5.48
Downtown,2021,2023,23010,292834,111290854069,114029255030,2.46
Downtown,2021,2024,24652,333432,119322539661,118459584878,-0.72
Dunbar-Southlands,2020,2021,537,7036,2897663001,2767148001,-4.5
Dunbar-Southlands,2020,2022,508,6998,2806690001,3043260001,8.43
Dunbar-Southlands,2020,2023,642,7577,3087761001,3267297845,5.81
Dunbar-Southlands,2020,2024,679,7704,3190943001,3301111764,3.45
Dunbar-Southlands,2021,2022,520,3022,2725278001,3086943001,13.27
Dunbar-Southlands,2021,2023,658,3598,2981936001,3319039948,11.3
Dunbar-Southlands,2021,2024,695,3787,3038286001,3308928564,8.91
Fairview,2020,2021,11722,76568,64801973211,60641942511,-6.42
Fairview,2020,2022,11399,72176,62652187009,62122421509,-0.85
Fairview,2020,2023,13093,81823,71499510511,71318419023,-0.25
Fairview,2020,2024,14514,89036,78477507211,81240411999,3.52
Fairview,2021,2022,11996,73326,66006667109,70022380509,6.08
Fairview,2021,2023,13797,81939,75695986010,81231443678,7.31
Fairview,2021,2024,15362,90374,83530223110,93579075210,12.03
Grandview-Woodland,2020,2021,3594,24330,18519823319,17645839319,-4.72
Grandview-Woodland,2020,2022,3175,20746,17287978317,17505812217,1.26
Grandview-Woodland,2020,2023,3315,21189,17408513317,18455180833,6.01
Grandview-Woodland,2020,2024,3474,23245,18426463317,18660716900,1.27
Grandview-Woodland,2021,2022,3448,21322,16568522317,17708801217,6.88
Grandview-Woodland,2021,2023,3564,21804,16557506317,18404553380,11.16
Grandview-Woodland,2021,2024,3948,24500,17620074317,18537462137,5.21
Hastings-Sunrise,2020,2021,1525,37040,9180619000,8193059800,-10.76
Hastings-Sunrise,2020,2022,1517,36372,9002111000,8653878900,-3.87
Hastings-Sunrise,2020,2023,1614,33572,9226235000,9756084862,5.74
Hastings-Sunrise,2020,2024,1834,34742,9911867000,10098409418,1.88
Hastings-Sunrise,2021,2022,1544,37367,8008843800,8714863900,8.82
Hastings-Sunrise,2021,2023,1613,34657,8190664200,9758593249,19.14
Hastings-Sunrise,2021,2024,1813,35821,8849541200,10019758322,13.22
Kensington-Cedar Cottage,2020,2021,3437,20358,13408229311,12397863911,-7.54
Kensington-Cedar Cottage,2020,2022,3256,19615,12534888911,12989005507,3.62
